"regulatory.gene" "target.gene" "weight"
"YGR044C" "YCR018C" 0.880014244082418
"YCR018C" "YGR044C" 0.840594427476519
"YGL035C" "YGL209W" 0.838788709958854
"YGL209W" "YGL035C" 0.827492392619397
"YOR032C" "YHR006W" 0.777610536883104
"YGR072W" "YOL067C" 0.765949009849035
"YFL021W" "YML099C" 0.763523888065854
"YPL248C" "YML051W" 0.760627523792803
"YML099C" "YFL021W" 0.759961611063711
"YBR166C" "YHR157W" 0.745755096582929
"YOL067C" "YGR072W" 0.688609667324797
"YML051W" "YPL248C" 0.649489039037633
"YHR006W" "YOR032C" 0.621878112746203
"YPL038W" "YDR421W" 0.613441352836912
"YDL170W" "YLR465C" 0.597674370308826
"YDL210W" "YDL170W" 0.58150112766384
"YBR166C" "YDR084C" 0.57854088619751
"YOL067C" "YNL002C" 0.577042343948839
"YDR253C" "YBR019C" 0.575315160804338
"YGL184C" "YPL038W" 0.567871729481347
"YGL184C" "YNL103W" 0.566896483220136
"YMR042W" "YDR103W" 0.557894764464139
"YNL103W" "YIR017C" 0.555752954708106
"YIR017C" "YER091C" 0.555656193722715
"YJL110C" "YLR023C" 0.555449258911014
"YML099C" "YDL068W" 0.553133812743118
"YML113W" "YDR520C" 0.543488448348824
"YBR019C" "YDR253C" 0.541768111033565
"YDL170W" "YDL210W" 0.537559462695318
"YBR166C" "YJL110C" 0.53639126112618
"YGL184C" "YER134C" 0.5338697712703
"YGL184C" "YDR544C" 0.532304086759392
"YDR520C" "YDL071C" 0.530525003372448
"YPR199C" "YMR135WA" 0.512909358804327
"YBL111C" "YJR044C" 0.509144860243046
"YDR253C" "YGL184C" 0.508105601798879
"YCR096C" "YPR199C" 0.504547999628906
"YDR520C" "YML113W" 0.49989835915987
"YCL067C" "YJL056C" 0.498894100664008
"YGL035C" "YBR020W" 0.495605614650785
"YLR044C" "YDR009W" 0.490846337591308
"YDR543C" "YLR013W" 0.487325706218355
"YJL056C" "YCL067C" 0.479665068865758
"YMR042W" "YNL050C" 0.466027590738759
"YJR147W" "YLR098C" 0.458258976319442
"YJL110C" "YBR166C" 0.4567671280181
"YPL038W" "YGL254W" 0.45456938961599
"YGR072W" "YNL338W" 0.444530076716721
"YBR166C" "YGL001C" 0.433832980204484
"YLR098C" "YIL002WA" 0.431361991208541
"YGR072W" "YGR271W" 0.396679910478502
"YGL209W" "YCL065W" 0.392646771878256
"YBR166C" "YCR096C" 0.390602763323451
"YGR072W" "YML113W" 0.386975694688137
"YPL248C" "YER189W" 0.376038296020847
"YOR032C" "YJR147W" 0.374849131107169
"YBR020W" "YHR094C" 0.374775917898357
"YOL067C" "YMR042W" 0.362171585017667
"YDR009W" "YLR044C" 0.35953547855269
"YGR044C" "YCR097W" 0.356886396463869
"YJL056C" "YNL339C" 0.352679239142407
"YBR166C" "YHR091C" 0.345030194233607
"YCR041W" "YBL111C" 0.34369544747901
"YPL038W" "YBL074C" 0.339820557710359
"YJL056C" "YNL337W" 0.33410384121519
"YCR097W" "YMR019W" 0.331811893865546
"YBL111C" "YCR041W" 0.328902518602454
"YPL038W" "YGL184C" 0.328523906049118
"YLR044C" "YDL149W" 0.325728705724249
"YOL067C" "YKL020C" 0.317742228654032
"YCL066W" "YPL187W" 0.314666549390773
"YGR072W" "YPL177C" 0.314455651022609
"YBR166C" "YBL109W" 0.308154536045772
"YLR013W" "YBL113C" 0.300106628469718
"YDR520C" "YMR086CA" 0.296560779322882
"YGR072W" "YDR543C" 0.294049517244247
"YGL254W" "YOR140W" 0.289601848512477
"YGR072W" "YBR166C" 0.282842604633236
"YLR465C" "YDL170W" 0.282447059133916
"YCR097W" "YKL178C" 0.281366492445228
"YKR034W" "YGR296W" 0.28096287875866
"YGR072W" "YCR040W" 0.278120771226572
"YDR421W" "YPL038W" 0.274922455071205
"YLR013W" "YBR112C" 0.273126462834946
"YDL210W" "YDR545W" 0.270516630969505
"YMR042W" "YER111C" 0.270158209522174
"YMR042W" "YJR147W" 0.267543651444506
"YML113W" "YDR543C" 0.258015998348597
"YER111C" "YDR103W" 0.254727282713589
"YCR040W" "YPL187W" 0.249356465571425
"YGR072W" "YDL210W" 0.247242956044016
"YLR013W" "YCL065W" 0.23816880513944
"YER190W" "YKR034W" 0.237103897335923
"YMR193W" "YHR156C" 0.229864086056213
"YBL074C" "YOL089C" 0.226834362829615
"YNL103W" "YDR522C" 0.223472553359133
"YDL170W" "YMR193W" 0.22336937843726
"YBR166C" "YMR193W" 0.223351018152729
"YMR193W" "YCL066W" 0.220311243889466
"YLR098C" "YJL110C" 0.216815241086836
"YBR166C" "YPL198W" 0.216684512809627
"YGL184C" "YDR253C" 0.206569214935663
"YDR520C" "YJR011C" 0.206546132963446
"YOL067C" "YGR271W" 0.204210292076033
"YPL248C" "YOR140W" 0.20267069520094
"YMR019W" "YGR071C" 0.201692076354359
"YCR097W" "YOL089C" 0.200443289510667
"YGL001C" "YOL089C" 0.197427359113782
"YCR018C" "YCL067C" 0.196147629945658
"YMR019W" "YCR097W" 0.19562655074991
"YBR166C" "YDR520C" 0.195074868764042
"YOR032C" "YPL198W" 0.19443003743724
"YBR166C" "YCR039C" 0.183576226622293
"YDL071C" "YLR013W" 0.183423652106311
"YOL067C" "YMR098C" 0.181984096192795
"YGL001C" "YDR544C" 0.180438126970169
"YOR032C" "YJL056C" 0.180151007276056
"YPL038W" "YER111C" 0.176906884327868
"YDR253C" "YGL254W" 0.176813989257979
"YDR253C" "YNL277W" 0.174758862421409
"YGL035C" "YHR094C" 0.172850175093383
"YJR147W" "YMR042W" 0.17247092895404
"YML113W" "YNL338W" 0.168960465789795
"YPL248C" "YBL113C" 0.166471354304425
"YJR147W" "YKL020C" 0.164814944536906
"YMR042W" "YNL103W" 0.164662838986461
"YDL149W" "YLR044C" 0.163343397189114
"YOR140W" "YLR463C" 0.163031300593987
"YLR463C" "YGR071C" 0.162895709364853
"YER189W" "YLR463C" 0.161993364912172
"YJR147W" "YJL056C" 0.157790333328601
"YLR467W" "YKL001C" 0.156823769194345
"YDR253C" "YER134C" 0.156437172661002
"YPL248C" "YNL336W" 0.154708846522066
"YOL067C" "YDR522C" 0.154442113630617
"YGL001C" "YKL020C" 0.154196803166064
"YJR044C" "YDL068W" 0.153203857852829
"YDR522C" "YER190W" 0.15291357450324
"YCR097W" "YDL068W" 0.152802042258315
"YBR166C" "YKR034W" 0.151123645098729
"YCR097W" "YNL050C" 0.150639304023114
"YDR421W" "YER190W" 0.150244373172133
"YML099C" "YDL071C" 0.148613288396613
"YGL001C" "YMR042W" 0.148221274307478
"YML113W" "YLR465C" 0.144802068473326
"YDL068W" "YML099C" 0.14295254986873
"YPL248C" "YMR086CA" 0.142809048722784
"YDL210W" "YLR467W" 0.14261827030777
"YLR013W" "YLR467W" 0.14187691658964
"YGR072W" "YNL336W" 0.138841535511451
"YML099C" "YPL177C" 0.138090991258173
"YJL056C" "YNL336W" 0.137791774241657
"YGL001C" "YCR096C" 0.136437002459517
"YJR044C" "YBL111C" 0.13631665490827
"YDL170W" "YLR467W" 0.136278472061463
"YOR032C" "YMR042W" 0.135575534658592
"YHR094C" "YGR296W" 0.134806331049235
"YPL187W" "YCR040W" 0.134197224320206
"YIR017C" "YMR098C" 0.134146772729072
"YDL210W" "YMR193W" 0.133677397970644
"YOR032C" "YDR522C" 0.129410972206946
"YKR034W" "YNL339C" 0.127834157874813
"YJL110C" "YNL337W" 0.127384225062112
"YLR465C" "YKL178C" 0.125299022151761
"YGR072W" "YCR096C" 0.122679127450838
"YML051W" "YDL149W" 0.122458073598761
"YNL339C" "YKR034W" 0.12165133689556
"YOL089C" "YCR097W" 0.120760940303649
"YMR098C" "YPR167C" 0.118611141934731
"YDR522C" "YGL255W" 0.117723236522663
"YGR271W" "YOL067C" 0.116894854256507
"YGL001C" "YOR032C" 0.116649174969985
"YKR034W" "YCR041W" 0.116272060409131
"YGL001C" "YDR084C" 0.116069792199859
"YOR032C" "YER111C" 0.115977725245511
"YPL248C" "YDL149W" 0.114480527268313
"YDR103W" "YER111C" 0.114284202425184
"YDR084C" "YER189W" 0.113947658448448
"YNL103W" "YMR019W" 0.11308871806367
"YML113W" "YER189W" 0.112978547369676
"YGR271W" "YLR044C" 0.112902453676823
"YBR020W" "YPL248C" 0.112781157165233
"YJL110C" "YER190W" 0.11167520006438
"YML099C" "YLR023C" 0.11070610145945
