"regulatory.gene" "target.gene" "weight"
"G1" "G5" 0.86427141813217
"G5" "G1" 0.852172733270896
"G6" "G8" 0.71800269397617
"G8" "G6" 0.708486807916578
"G9" "G10" 0.65524791291204
"G9" "G7" 0.4451648952108
"G7" "G4" 0.284053264177751
"G7" "G2" 0.282887948307964
"G7" "G9" 0.273814236120164
"G4" "G3" 0.253182349712222
"G5" "G9" 0.252495283901804
"G10" "G9" 0.225502850159703
"G5" "G4" 0.216430725172624
"G6" "G2" 0.202176540989992
"G8" "G2" 0.201035359071054
"G7" "G3" 0.170047156915223
"G3" "G4" 0.153820088715584
"G1" "G2" 0.15006361652373
"G9" "G3" 0.125503180814634
"G10" "G4" 0.124874576723776
"G4" "G7" 0.119746185994865
"G3" "G7" 0.114746074403158
"G4" "G10" 0.097091615659104
