"regulatory.gene" "target.gene" "weight"
"G8" "G7" 0.648606191722351
"G8" "G2" 0.578325847425076
"G7" "G8" 0.483146977053343
"G5" "G9" 0.371822386842853
"G9" "G4" 0.364007426703484
"G3" "G10" 0.353059151232634
"G7" "G6" 0.336226970321964
"G9" "G5" 0.292697319525758
"G2" "G8" 0.282361892672318
"G2" "G6" 0.267917225523127
"G4" "G5" 0.263610195516174
"G5" "G3" 0.215926778290091
"G5" "G1" 0.195730952605565
"G4" "G9" 0.194161176861786
"G10" "G3" 0.189395080546739
"G5" "G4" 0.164391850980773
"G5" "G10" 0.160776132057023
"G2" "G1" 0.153964973746391
"G2" "G3" 0.153733783965496
"G6" "G1" 0.130613312899393
"G6" "G7" 0.126874091716002
"G6" "G9" 0.120234332266069
"G5" "G6" 0.114694965074489
"G6" "G5" 0.108928463733482
"G2" "G10" 0.10473587980759
"G6" "G2" 0.102178704349319
"G7" "G1" 0.101889030881533
"G10" "G9" 0.0999968369665126
"G6" "G10" 0.0989445362010993
"G8" "G1" 0.0973474339120698
"G9" "G1" 0.0969859407190766
"G3" "G4" 0.095490508120546
"G1" "G3" 0.0946368175532682
"G2" "G4" 0.0918295162653376
"G4" "G1" 0.0867530837799358
"G9" "G10" 0.0839588828044985
"G6" "G3" 0.0838316428116131
"G4" "G3" 0.081907567561407
"G6" "G4" 0.0815758379525958
"G9" "G6" 0.0802448869375869
"G2" "G9" 0.0796278512029691
"G9" "G2" 0.0792312146764014
"G1" "G5" 0.0768574487380289
"G8" "G3" 0.0744962642732171
"G10" "G1" 0.072775823315372
"G2" "G5" 0.067984167007892
"G8" "G10" 0.0652290064228426
"G3" "G1" 0.0639394481406642
"G7" "G2" 0.061935540065046
"G2" "G7" 0.0615909542499338
"G1" "G4" 0.0599831512912953
"G10" "G5" 0.0593901404328976
"G10" "G2" 0.0567186421988144
"G7" "G3" 0.0552031193277003
"G4" "G10" 0.0542472543503282
"G10" "G6" 0.0542218836024342
"G10" "G4" 0.0534371619015035
"G7" "G5" 0.0524729614721541
"G7" "G4" 0.05109591140269
"G9" "G3" 0.0508689456704687
"G5" "G8" 0.0497245321655936
"G3" "G5" 0.0459007664877214
"G3" "G2" 0.0446652450980948
"G8" "G6" 0.0436974662981295
"G6" "G8" 0.0435822979010365
"G1" "G6" 0.0426866867819547
"G7" "G10" 0.0417651239303337
"G3" "G8" 0.0388775958335209
"G4" "G6" 0.0382067925735431
"G8" "G4" 0.0381886353817747
"G3" "G9" 0.0378271790298364
"G9" "G7" 0.03730488656662
"G1" "G10" 0.0372840331936507
"G5" "G2" 0.0359379043582813
"G1" "G7" 0.0356421033995596
"G1" "G9" 0.0327047941825717
"G8" "G9" 0.0321597178837041
"G8" "G5" 0.0321585370858912
"G7" "G9" 0.0314657247636987
"G5" "G7" 0.0298389882559451
"G1" "G8" 0.0295372259667423
"G3" "G7" 0.0267850703329803
"G10" "G8" 0.0254787053159269
"G4" "G8" 0.024037899105934
"G9" "G8" 0.0232528739855849
"G3" "G6" 0.0221031228867718
"G1" "G2" 0.0207250834057967
"G4" "G2" 0.0202818184231709
"G10" "G7" 0.0189238200696508
"G4" "G7" 0.0144338936869574
